sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
2480,En provenance de Reims,,,0,easy,incomplete_dest,missing destination
4884,Je souhaite me rendre à Amiens en partant de Saint-Étienne,Saint-Étienne,Amiens,1,medium,compound_name,compound name
9098,Quel est le prix d'un billet de Amiens à Toulon,Amiens,Toulon,1,easy,standard,
4757,Direction Grenoble en partant de Nîmes,Nîmes,Grenoble,1,medium,inverted_order,
4441,Comment se rendre à Saint-Étienne si on part de Bordeaux,Bordeaux,Saint-Étienne,1,medium,inverted_order,
8379,Réservation Villeurbanne Montpellier,Villeurbanne,Montpellier,1,medium,no_markers,
7395,Je vais de Lyon à Lyon,,,0,medium,ambiguous,origin equals destination
3001,Lyon 789 !!!,,,0,easy,garbage,incoherent mix
3142,horloge requin jardin ordinateur baleine,,,0,easy,garbage,nonsense words
8439,noqire juzy xuhygeqi,,,0,easy,garbage,random text
8138,Un billet de Châlons en Champagne pour Paris,Châlons-en-Champagne,Paris,1,medium,compound_name,compound name no hyphen
4076,Je me suis trompé Marseille pas Lille,,,0,medium,ambiguous,conflicting information
5664,Je vais à Nantes voir mon ami Paris en partant de Nice,Nice,Nantes,1,medium,name_ambiguity,Paris=prénom
4922,De Aix-les-Bains vers Le Havre,Aix-les-Bains,Le Havre,1,medium,compound_name,compound name
7963,à rennes ?,,,0,easy,incomplete_origin,missing origin
1224,Je dois rejoindre Lourdes à Villeurbanne depuis Limoges,Limoges,Villeurbanne,1,medium,name_ambiguity,Lourdes=prénom
4528,Direction Rennes,,,0,easy,incomplete_origin,missing origin
5554,un billet lille paris s'il vous plait,Lille,Paris,1,medium,no_capitals,"lowercase, no accents"
6658,Combien coûte un billet de Saint-Étienne à Lille,Saint-Étienne,Lille,1,medium,additional_info,with time/passenger info
5204,Je dois rejoindre Albert à Paris depuis Bordeaux,Bordeaux,Paris,1,medium,name_ambiguity,Albert=prénom
6135,je souhaite me rendre a lile depui villeurbann,Villeurbanne,Lille,1,hard,misspelling,spelling errors
6316,Je veux aller à Reims en partant de Metz,Metz,Reims,1,medium,inverted_order,
1305,Pouvez-vous me donner les horaires de Montpellier à Le Mans,Montpellier,Le Mans,1,easy,standard,
2518,je dois aller de paris a reims,Paris,Reims,1,medium,no_capitals,"lowercase, no accents"
3630,De Lyon vers Lyon,,,0,medium,ambiguous,origin equals destination
7921,Bilet Marseille Annec,Marseille,Annecy,1,hard,misspelling,spelling errors
4297,Combien coûte un billet de train de Aix-en-Provence à Dijon,Aix-en-Provence,Dijon,1,medium,standard,
421,Pour aller à Bordeaux depuis Amiens,Amiens,Bordeaux,1,medium,inverted_order,
4868,"avec mes amis paris et albert, je voudrais aller de strasbourg à brest",Strasbourg,Brest,1,hard,name_ambiguity,"Paris/Albert=prénoms, lowercase"
2648,Train Le Havre Dijon,Le Havre,Dijon,1,easy,no_markers,
1939,un billet toulon metz s'il vous plait,Toulon,Metz,1,medium,no_capitals,"lowercase, no accents"
419,Y a-t-il des trains directs de Tours à Perpignan,Tours,Perpignan,1,medium,standard,
5513,Arrivant de Paris ?,,,0,easy,incomplete_dest,missing destination
1020,Localisé à Nice,,,0,easy,incomplete_dest,missing destination
8348,Comment aller à Toulon depuis Port-Boulet,Port-Boulet,Toulon,1,medium,compound_name,compound name
2977,Je souhaite me rendre à Aix en Provence en partant de Villeurbanne,Villeurbanne,Aix-en-Provence,1,medium,compound_name,compound name no hyphen
4684,Train de Lille à Saint-Étienne,Lille,Saint-Étienne,1,medium,compound_name,compound name
3252,de nîmes vers annecy,Nîmes,Annecy,1,medium,no_capitals,"lowercase, no accents"
2470,Bordeaux Paris Marseille Rennes,,,0,medium,ambiguous,too many cities
1807,je pars pour strasbourg ?,,,0,easy,incomplete_origin,missing origin
1855,Bilet Nîme Nante,Nîmes,Nantes,1,hard,misspelling,spelling errors
4220,je dois aller de lyon a grenoble,Lyon,Grenoble,1,medium,no_capitals,"lowercase, no accents"
1919,Trajet de Paris vers Nice,Paris,Nice,1,easy,standard,
1077,Trajet vers Aix-en-Provence au départ de Metz,Metz,Aix-en-Provence,1,medium,inverted_order,
9627,De Paris à Marseille ou peut-être Nantes,,,0,medium,ambiguous,contradictions
725,Pouvez-vous me réserver une place de Bordeaux à Annecy,Bordeaux,Annecy,1,medium,standard,
39,Je dois rejoindre Rémy à Florence depuis Metz,Metz,Florence,1,medium,name_ambiguity,Rémy=prénom
3354,Comment se rendre à Lyon si on part de Metz,Metz,Lyon,1,medium,inverted_order,
4873,xyloj mocuf hajoraci,,,0,easy,garbage,random text
1770,Marseille Aix-en-Provence aller simple,Marseille,Aix-en-Provence,1,medium,no_markers,
508,De Marseille à Nice puis Nantes,,,0,medium,ambiguous,too many cities
2772,Je vais à Limoges voir mon ami Clément en partant de Villeurbanne,Villeurbanne,Limoges,1,medium,name_ambiguity,Clément=prénom
8144,Train de Bourg-en-Bresse à Clermont-Ferrand,Bourg-en-Bresse,Clermont-Ferrand,1,medium,compound_name,compound name
8755,Combien coûte un billet de train de Aix-en-Provence à Clermont-Ferrand,Aix-en-Provence,Clermont-Ferrand,1,medium,standard,
9920,Commen aler de Dijo a Limoge,Dijon,Limoges,1,hard,misspelling,spelling errors
7584,comment aller a toulouse depuis grenooble,Grenoble,Toulouse,1,hard,misspelling,spelling errors
8027,Un billet Perpignan Le Havre s'il vous plaît,Perpignan,Le Havre,1,easy,standard,
9253,Tours Grenoble demain,Tours,Grenoble,1,medium,no_markers,
5628,Un billet Paris Metz s'il vous plaît,Paris,Metz,1,easy,standard,
8614,Je vais à Bordeaux voir mon ami Albert en partant de Grenoble,Grenoble,Bordeaux,1,medium,name_ambiguity,Albert=prénom
9739,Avec mon ami Paris je voudrais aller de Nice à Paris,Nice,Paris,1,medium,name_ambiguity,Paris=prénom
2272,Réservation Metz Toulon,Metz,Toulon,1,medium,no_markers,
996,Quel est le train le plus rapide de Toulouse à Annecy,Toulouse,Annecy,1,hard,complex_question,
2699,Je cherche un train de Tours à Lille,Tours,Lille,1,easy,standard,
5309,Mon ami Lourdes m'attend à Bordeaux je pars de Strasbourg,Strasbourg,Bordeaux,1,medium,name_ambiguity,Lourdes=prénom
5343,covakogol duz bipi,,,0,easy,garbage,random text
3539,"Lourdes, Paris et moi voulons aller de Reims à Florence",Reims,Florence,1,hard,name_ambiguity,Lourdes/Paris=prénoms
231,Billet Saint-Étienne Aix-en-Provence,Saint-Étienne,Aix-en-Provence,1,medium,no_markers,
8181,Comment se rendre à Le Mans si on part de Grenoble,Grenoble,Le Mans,1,medium,inverted_order,
6218,un billet pour toulon ?,,,0,easy,incomplete_origin,missing origin
5383,Quel est le temps de trajet de Reims à Toulon,Reims,Toulon,1,medium,standard,
4126,un train de grenoble a marseille,Grenoble,Marseille,1,medium,no_capitals,"lowercase, no accents"
881,Je veux aller de Toulouse à Villeurbanne,Toulouse,Villeurbanne,1,easy,standard,
9116,SNCF SNCF SNCF SNCF SNCF SNCF SNCF,,,0,easy,garbage,repetitions
9766,C'est les vacances,,,0,easy,no_intent,off_topic
2176,Pouvez-vous me réserver une place de Tours à Grenoble,Tours,Grenoble,1,medium,standard,
233,Deux billets de Metz à Strasbourg s'il vous plaît,Metz,Strasbourg,1,medium,additional_info,with time/passenger info
7590,De Metz vers Reims s'il vous plaît,Metz,Reims,1,easy,standard,
6544,À Clermont-Ferrand en partance de Rennes,Rennes,Clermont-Ferrand,1,medium,inverted_order,
8962,Trajet La Roche-sur-Yon Toulouse,La Roche-sur-Yon,Toulouse,1,medium,compound_name,compound name
6772,Avec mon ami Rémy je voudrais aller de Toulon à Aix-en-Provence,Toulon,Aix-en-Provence,1,medium,name_ambiguity,Rémy=prénom
2334,Le Havre Angers ce soir,Le Havre,Angers,1,medium,no_markers,
8958,Quel est l'horaire des trains au départ de Tours pour Le Havre,Tours,Le Havre,1,medium,standard,
8141,Je quitte Lille,,,0,easy,incomplete_dest,missing destination
7843,Pour aller à Villeurbanne depuis Strasbourg,Strasbourg,Villeurbanne,1,medium,inverted_order,
9066,comment aller a bordo depuis villeurbann,Villeurbanne,Bordeaux,1,hard,misspelling,spelling errors
8446,route pour toulon ?,,,0,easy,incomplete_origin,missing origin
2976,De Toulouse vers Paris s'il vous plaît,Toulouse,Paris,1,easy,standard,
