sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,ça va bien merci ?,,,0,easy,no_intent,greetings
2,Très bien et vous !,,,0,easy,no_intent,greetings
3,Coucou,,,0,easy,no_intent,greetings
4,Comment vas-tu,,,0,easy,no_intent,greetings
5,Au revoir ?,,,0,easy,no_intent,greetings
6,salut ça va ?,,,0,easy,no_intent,greetings
7,Enchanté !,,,0,easy,no_intent,greetings
8,À bientôt ?,,,0,easy,no_intent,greetings
9,à plus tard,,,0,easy,no_intent,greetings
10,Enchanté ?,,,0,easy,no_intent,greetings
11,bonjour ?,,,0,easy,no_intent,greetings
12,comment vas-tu ?,,,0,easy,no_intent,greetings
13,Au revoir ?,,,0,easy,no_intent,greetings
14,ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
15,Ça va bien merci ?,,,0,easy,no_intent,greetings
16,Comment vas-tu ?,,,0,easy,no_intent,greetings
17,Coucou,,,0,easy,no_intent,greetings
18,comment vas-tu ?,,,0,easy,no_intent,greetings
19,bonne journée,,,0,easy,no_intent,greetings
20,Très bien et vous !,,,0,easy,no_intent,greetings
21,À demain !,,,0,easy,no_intent,greetings
22,ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
23,à bientôt,,,0,easy,no_intent,greetings
24,au revoir ?,,,0,easy,no_intent,greetings
25,Ça va bien merci !,,,0,easy,no_intent,greetings
26,Au revoir ?,,,0,easy,no_intent,greetings
27,Bonsoir !,,,0,easy,no_intent,greetings
28,À plus tard ?,,,0,easy,no_intent,greetings
29,Hey salut,,,0,easy,no_intent,greetings
30,bonne soirée,,,0,easy,no_intent,greetings
31,À plus tard,,,0,easy,no_intent,greetings
32,bonne journée,,,0,easy,no_intent,greetings
33,Enchanté !,,,0,easy,no_intent,greetings
34,Coucou,,,0,easy,no_intent,greetings
35,Hey salut,,,0,easy,no_intent,greetings
36,Comment vas-tu,,,0,easy,no_intent,greetings
37,Comment vas-tu,,,0,easy,no_intent,greetings
38,bonjour ?,,,0,easy,no_intent,greetings
39,Bonne journée,,,0,easy,no_intent,greetings
40,bonsoir ?,,,0,easy,no_intent,greetings
41,Bonsoir !,,,0,easy,no_intent,greetings
42,Ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
43,Hey salut,,,0,easy,no_intent,greetings
44,Bonjour comment allez-vous !,,,0,easy,no_intent,greetings
45,Hey salut,,,0,easy,no_intent,greetings
46,coucou ?,,,0,easy,no_intent,greetings
47,Bonne journée !,,,0,easy,no_intent,greetings
48,Bonsoir,,,0,easy,no_intent,greetings
49,Salut,,,0,easy,no_intent,greetings
50,hey salut ?,,,0,easy,no_intent,greetings
51,hey salut ?,,,0,easy,no_intent,greetings
52,Ça va bien merci,,,0,easy,no_intent,greetings
53,Enchanté,,,0,easy,no_intent,greetings
54,Enchanté !,,,0,easy,no_intent,greetings
55,Yo !,,,0,easy,no_intent,greetings
56,Bonjour !,,,0,easy,no_intent,greetings
57,Bonne nuit ?,,,0,easy,no_intent,greetings
58,ça va bien merci ?,,,0,easy,no_intent,greetings
59,À plus tard !,,,0,easy,no_intent,greetings
60,enchanté ?,,,0,easy,no_intent,greetings
61,À plus tard ?,,,0,easy,no_intent,greetings
62,coucou,,,0,easy,no_intent,greetings
63,Bonne journée,,,0,easy,no_intent,greetings
64,à demain ?,,,0,easy,no_intent,greetings
65,enchanté,,,0,easy,no_intent,greetings
66,bonne soirée ?,,,0,easy,no_intent,greetings
67,bonjour ?,,,0,easy,no_intent,greetings
68,Bonne journée,,,0,easy,no_intent,greetings
69,salut ça va,,,0,easy,no_intent,greetings
