sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,la pizza c'est délicieux,,,0,easy,no_intent,off_topic
2,Tours Montpellier pour le travail,Tours,Montpellier,1,medium,no_markers,
3,train train train train,,,0,easy,garbage,repetitions
4,framboise papillon igloo nuage,,,0,easy,garbage,nonsense words
5,le train de paris a nîmes,Paris,Nîmes,1,easy,no_capitals,
6,Partir de Toulouse et aller à Paris,Toulouse,Paris,1,easy,standard,
7,trajet de aix-en-provence vers toulouse,Aix-en-Provence,Toulouse,1,easy,no_capitals,
8,voyage depuis bordeaux vers marseille,Bordeaux,Marseille,1,easy,no_capitals,
9,Aix-en-Provence Angers pour demain,Aix-en-Provence,Angers,1,easy,no_markers,
10,Perpignan Toulon horaires,Perpignan,Toulon,1,easy,no_markers,
11,Aller vers Nice au départ de Reims,Reims,Nice,1,medium,inverted_order,
12,Pour Grenoble,,,0,easy,incomplete_origin,missing origin
13,Je souhaite me rendre à Toulouse,,,0,easy,incomplete_origin,missing origin
14,je souhet me rendre a peerpignan depuis bordeau,Bordeaux,Perpignan,1,hard,misspelling,spelling errors
15,Rennes Toulouse deuxième classe,Rennes,Toulouse,1,medium,no_markers,
16,Comment aller de Nice à Rennes à Bordeaux,,,0,medium,ambiguous,too many cities
17,direction toulouse,,,0,easy,incomplete_origin,missing origin
18,Je souhet partir de Anger a tours,Angers,Tours,1,hard,misspelling,spelling errors
19,Quelle est votre adresse ?,,,0,easy,no_intent,general_questions
20,Je veux aller de Bourg en Bresse à Nantes,Bourg-en-Bresse,Nantes,1,medium,compound_name,compound name no hyphen
21,papillon guitare lampe,,,0,easy,garbage,nonsense words
22,Quel est le prochain train de Reims à Toulouse,Reims,Toulouse,1,medium,standard,
23,Billet Toulouse Toulouse,,,0,medium,ambiguous,origin equals destination
24,un train pour nantes,,,0,easy,incomplete_origin,missing origin
25,Il y avait du monde dans le train,,,0,easy,no_intent,train_discussion
26,je voudrais voyager de aix-en-provence a marseille,Aix-en-Provence,Marseille,1,easy,no_capitals,
27,Un billet Le Havre Dijon pour 2 adultes,Le Havre,Dijon,1,medium,additional_info,
