sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,Lyon Le Havre dès que possible,Lyon,Le Havre,1,medium,no_markers,
2,Je doi partir de brest a saint-étienne,Brest,Saint-Étienne,1,hard,misspelling,spelling errors
3,le train c'est mieux que l'avion ?,,,0,easy,no_intent,train_discussion
4,Je souhaiterais obtenir un billet de Tours à Nantes,Tours,Nantes,1,easy,standard,
5,Direction Toulouse depuis Aix-en-Provence,Aix-en-Provence,Toulouse,1,medium,compound_name,
6,voyage de tours a bordeaux,Tours,Bordeaux,1,easy,no_capitals,
7,C'est difficile ?,,,0,easy,no_intent,random_statements
8,Dijon Nantes la semaine prochaine,Dijon,Nantes,1,medium,no_markers,
9,Le train de Saint-Étienne à Bordeaux,Saint-Étienne,Bordeaux,1,easy,standard,
10,Je voudrais aller de Marseille à Paris via Bordeaux et Nice,,,0,medium,ambiguous,too many cities
11,Billet Grenoble Boulogne-sur-Mer,Grenoble,Boulogne-sur-Mer,1,medium,compound_name,
12,Tarif réduit de Toulon à Amiens pour étudiants,Toulon,Amiens,1,medium,additional_info,
13,--- ???,,,0,easy,garbage,special characters
14,Trin Anger Nante,Angers,Nantes,1,hard,misspelling,spelling errors
15,Un billet Perpignan Reims pour 2 adultes,Perpignan,Reims,1,medium,additional_info,
16,je voudrais aller à nice ?,,,0,easy,incomplete_origin,missing origin
17,je doi ale de grenobl a nîme,Grenoble,Nîmes,1,hard,misspelling,spelling errors
18,Train Montpellier Nice dès que possible,Montpellier,Nice,1,medium,additional_info,
19,Pour atteindre Angers depuis Montpellier,Montpellier,Angers,1,medium,inverted_order,
20,Lyon Nantes aller-retour,Lyon,Nantes,1,medium,no_markers,
21,Je dois partir de Nice à Le Havre,Nice,Le Havre,1,easy,standard,
22,Je viens de Strasbourg ?,,,0,easy,incomplete_dest,missing destination
23,"Moi, Clément et Albert voulons rejoindre Metz depuis Bordeaux",Bordeaux,Metz,1,hard,name_ambiguity,multiple name distractors
24,Un aller de Annecy à Nîmes merci,Annecy,Nîmes,1,easy,standard,
25,train 456 Paris !!! **!!,,,0,easy,garbage,incoherent mix
26,"Florence, Lourdes et moi voulons aller de Tours a Grenoble",Tours,Grenoble,1,hard,name_ambiguity,multiple name distractors
27,Je veux aller de Le Mans à Rennes,Le Mans,Rennes,1,easy,standard,
28,comment aller à toulouse,,,0,easy,incomplete_origin,missing origin
29,origine grenoble destination toulon,Grenoble,Toulon,1,easy,no_capitals,
30,Arrivant de Nice,,,0,easy,incomplete_dest,missing destination
31,À quelle heure arrive le dernier train de Perpignan à Lille,Perpignan,Lille,1,medium,standard,
32,Je voyage avec Rémy et Florence de Villeurbanne vers Lyon,Villeurbanne,Lyon,1,hard,name_ambiguity,multiple name distractors
33,Route de Amiens vers Aix-les-Bains,Amiens,Aix-les-Bains,1,medium,compound_name,
