sentenceID,sentence,expected_origin,expected_dest,predicted_origin,predicted_dest,category,difficulty
107,Je veu partir de Annec ver toulouse,Annecy,Toulouse,,toulouse,misspelling,hard
4576,Comment aller à Nantes depuis Bourg en Bresse,Bourg-en-Bresse,Nantes,,Nantes,compound_name,medium
8204,traje de strasboure a annec,Strasbourg,Annecy,strasboure,,misspelling,hard
8497,Un tiket de train de Lyl a strasbourg,Lille,Strasbourg,,strasbourg,misspelling,hard
1992,Un bilet Aix - en - Provenc Toor,Aix-en-Provence,Tours,Aix-en-Provenc,,misspelling,hard
7217,un biye de marseille ver annec,Marseille,Annecy,marseille,,misspelling,hard
8139,Je souhaite me rendre à La Roche sur Yon en partant de Saint - Étienne,Saint-Étienne,La Roche-sur-Yon,Saint-Étienne,,compound_name,medium
1888,je ve aller de pariz a le man,Paris,Le Mans,aller,le man,misspelling,hard
7533,Je veu aller de Bordo ver Saint - Étienn,Bordeaux,Saint-Étienne,,Saint-Étienn,misspelling,hard
9096,Je veux aller de Brest vers Aix en Provence,Brest,Aix-en-Provence,Brest,,compound_name,medium
8009,je veux ale de bordo a villeurbann,Bordeaux,Villeurbanne,,villeurbann,misspelling,hard
2247,bilet de annnecy ver lill,Annecy,Lille,,lill,misspelling,hard
7771,Je souhaite me rendre à Salon - de - Provence en partant de Strasbourg,Strasbourg,Salon-de-Provence,Strasbourg,de-Provence en,compound_name,medium
55,Je souhet aller de marseille ver Bordo,Marseille,Bordeaux,marseille,,misspelling,hard
3735,Comment aller à Strasbourg depuis La Roche sur Yon,La Roche-sur-Yon,Strasbourg,,Strasbourg,compound_name,medium
7987,commen me rendr a anneccy depuis brrest,Brest,Annecy,brrest,,misspelling,hard
4037,"Lourdes , Paris et moi devons aller de Metz à Paris",Metz,Paris,Paris,Paris,name_ambiguity,hard
2965,Je dois aller de Salon de Provence à Amiens,Salon-de-Provence,Amiens,,Amiens,compound_name,medium
9927,Me rendre à Limoges depuis Aix en Provence,Aix-en-Provence,Limoges,,Limoges,compound_name,medium
8931,Comman se rendre de Metz a Bord,Metz,Bordeaux,Metz,,misspelling,hard
6108,Pour aller de Salon de Provence vers Limoges,Salon-de-Provence,Limoges,,Limoges,compound_name,medium
5711,je veux ale de raines a saaint - étienne,Rennes,Saint-Étienne,,saaint-étienne,misspelling,hard
8522,Réservation de Brest à Châlons en Champagne,Brest,Châlons-en-Champagne,,Brest à Châlons en Champagne,compound_name,medium
8643,un bilet de trin de nisse a annnecy,Nice,Annecy,,,misspelling,hard
7391,je dois voir Clément et Paris a Toulouse en partant de Paris,Paris,Toulouse,,Toulouse,name_ambiguity,hard
477,Pour aller à Aix les Bains depuis Perpignan,Perpignan,Aix-les-Bains,,Aix les Bains depuis Perpignan,compound_name,medium
8725,Billet Metz Aix en Provence,Metz,Aix-en-Provence,,Metz Aix en Provence,compound_name,medium
6271,Aller à Aix en Provence depuis Brest,Brest,Aix-en-Provence,,Aix en Provence depuis Brest,compound_name,medium
7029,Je souhaite me rendre à Boulogne sur Mer en partant de Nantes,Nantes,Boulogne-sur-Mer,Nantes,,compound_name,medium
7291,Je veu me rendr a Nisse de rennes,Rennes,Nice,rennes,,misspelling,hard
470,je ve aller de annnecy a nantes,Annecy,Nantes,,nantes,misspelling,hard
2716,Tiket bordeaux Nisse,Bordeaux,Nice,bordeaux,,misspelling,hard
2565,Je souhaite me rendr a Annec depui metz,Metz,Annecy,metz,,misspelling,hard
5199,bilet de dijon ver annnecy,Dijon,Annecy,dijon,,misspelling,hard
