sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,"avec mes amis clément et albert, je voudrais aller de amiens à lille",Amiens,Lille,1,hard,name_ambiguity,"Clément/Albert=prénoms, lowercase"
2,Je dois me rendre de Strasbourg à Grenoble,Strasbourg,Grenoble,1,easy,standard,
3,Billet Paris Lyon Nantes,,,0,medium,ambiguous,too many cities
4,Mon ami Florence m'attend à Florence je pars de Rennes,Rennes,Florence,1,medium,name_ambiguity,Florence=prénom
5,Y a-t-il un train de Villeurbanne vers Nîmes,Villeurbanne,Nîmes,1,easy,standard,
6,De Reims,,,0,easy,incomplete_dest,missing destination
7,je voudrais un bilet de strasboourg à le havvre,Strasbourg,Le Havre,1,hard,misspelling,spelling errors
8,Je me rends à Grenoble en provenance de Saint-Étienne,Saint-Étienne,Grenoble,1,medium,inverted_order,
9,Trajet Salon-de-Provence Aix-en-Provence,Salon-de-Provence,Aix-en-Provence,1,medium,compound_name,compound name
10,je veux aller de brest a reims,Brest,Reims,1,medium,no_capitals,"lowercase, no accents"
11,Pouvez-vous me donner les horaires de Toulouse à Limoges,Toulouse,Limoges,1,easy,standard,
12,Trajet Annecy Boulogne-sur-Mer,Annecy,Boulogne-sur-Mer,1,medium,compound_name,compound name
13,Bordeaux Saint-Étienne ce soir,Bordeaux,Saint-Étienne,1,medium,no_markers,
14,Je voudrais réserver un billet de Limoges pour Paris,Limoges,Paris,1,medium,standard,
15,Pour me rendre à Strasbourg je pars de Perpignan,Perpignan,Strasbourg,1,medium,inverted_order,
16,Trajet vers Nîmes au départ de Dijon,Dijon,Nîmes,1,medium,inverted_order,
17,Pouvez-vous me réserver une place de Nice à Brest,Nice,Brest,1,medium,standard,
18,"Paris, Rémy et moi voulons aller de Grenoble à Paris",Grenoble,Paris,1,hard,name_ambiguity,Paris/Rémy=prénoms
19,je veux aller de villeurbanne à nîme,Villeurbanne,Nîmes,1,hard,misspelling,spelling errors
20,De Lille non attendez de Nantes vers Nice,,,0,medium,ambiguous,conflicting information
21,"Avec mes amis Rémy et Florence, je voudrais aller de Saint-Étienne à Tours",Saint-Étienne,Tours,1,hard,name_ambiguity,Rémy/Florence=prénoms
22,au départ de angers,,,0,easy,incomplete_dest,missing destination
23,comment aller a toulouze depuis strasbourg,Strasbourg,Toulouse,1,hard,misspelling,spelling errors
24,Comment se rendre à Le Havre si on part de Nîmes,Nîmes,Le Havre,1,medium,inverted_order,
25,Un aller simple de Tours à Clermont-Ferrand,Tours,Clermont-Ferrand,1,easy,standard,
26,bilet marsel toulouse,Marseille,Toulouse,1,hard,misspelling,spelling errors
27,Je voudrais aller à Paris,,,0,easy,incomplete_origin,missing origin
28,"avec mes amis paris et lourdes, je voudrais aller de dijon à clermont-ferrand",Dijon,Clermont-Ferrand,1,hard,name_ambiguity,"Paris/Lourdes=prénoms, lowercase"
29,Situé à Lyon,,,0,easy,incomplete_dest,missing destination
30,Direction Strasbourg ?,,,0,easy,incomplete_origin,missing origin
31,Combien coûte un billet,,,0,easy,incomplete_grammar,grammatically incomplete
32,Je veux aller de Nice à Tours,Nice,Tours,1,easy,standard,
33,Je vais de Lille à Paris à Nantes,,,0,medium,ambiguous,too many cities
34,Deux billets de Tours à Limoges s'il vous plaît,Tours,Limoges,1,medium,additional_info,with time/passenger info
35,Pour aller à Reims depuis Aix-en-Provence,Aix-en-Provence,Reims,1,medium,inverted_order,
36,Je voudrais aller à Marseille,,,0,easy,incomplete_origin,missing origin
37,J'aimerais visiter Dijon ?,,,0,easy,incomplete_origin,missing origin
38,Je vais de Lyon à Marseille à Rennes,,,0,medium,ambiguous,too many cities
39,Un billet pour Dijon,,,0,easy,incomplete_origin,missing origin
40,Je veux aller de Grenoble à Villeurbanne,Grenoble,Villeurbanne,1,easy,standard,
41,J'ai raté mon train,,,0,easy,no_intent,train_discussion
42,Je pars pour Lyon ?,,,0,easy,incomplete_origin,missing origin
43,Pouvez-vous me donner les horaires de Toulouse à Perpignan,Toulouse,Perpignan,1,easy,standard,
44,"Avec mes amis Florence et Rémy, je voudrais aller de Limoges à Saint-Étienne",Limoges,Saint-Étienne,1,hard,name_ambiguity,Florence/Rémy=prénoms
45,Arrivant de Bordeaux ?,,,0,easy,incomplete_dest,missing destination
46,Vers Grenoble au départ de Toulouse,Toulouse,Grenoble,1,medium,inverted_order,
47,Comment se rendre à Perpignan si on part de Lille,Lille,Perpignan,1,medium,inverted_order,
48,bilet toulo le mans,Toulon,Le Mans,1,hard,misspelling,spelling errors
49,je voudrais un billet de bordeaux a reims,Bordeaux,Reims,1,medium,no_capitals,"lowercase, no accents"
50,Nantes Nîmes demain,Nantes,Nîmes,1,medium,no_markers,
51,Un billet Limoges Nîmes pour 2 adultes,Limoges,Nîmes,1,medium,additional_info,with time/passenger info
52,Je veux aller de Perpignan à Toulouse,Perpignan,Toulouse,1,easy,standard,
53,Je dois rejoindre Lourdes à Florence depuis Perpignan,Perpignan,Florence,1,medium,name_ambiguity,Lourdes=prénom
54,Trajet de Toulon vers Paris,Toulon,Paris,1,easy,standard,
55,Train Annecy Aix-en-Provence,Annecy,Aix-en-Provence,1,easy,no_markers,
56,... ^^&& ^^&& $$%%,,,0,easy,garbage,special characters
57,"Avec mes amis Lourdes et Rémy, je voudrais aller de Perpignan à Florence",Perpignan,Florence,1,hard,name_ambiguity,Lourdes/Rémy=prénoms
58,Où habitez-vous !,,,0,easy,no_intent,general_questions
59,Je voudrais un billet de Rennes à Toulon,Rennes,Toulon,1,easy,standard,
60,Je ne sais pas si Nice ou Bordeaux,,,0,medium,ambiguous,contradictions
61,Un billet Clermont-Ferrand Metz s'il vous plaît,Clermont-Ferrand,Metz,1,easy,standard,
62,Je souhaite me rendre a Lile depui Toulouse,Toulouse,Lille,1,hard,misspelling,spelling errors
63,kogo sehigisi pilyvyl mivapo,,,0,easy,garbage,random text
64,Trajet Bourg-en-Bresse Aix-en-Provence,Bourg-en-Bresse,Aix-en-Provence,1,medium,compound_name,compound name
65,arrivant de bordeaux,,,0,easy,incomplete_dest,missing destination
66,Trajet de Aix-en-Provence vers Angers,Aix-en-Provence,Angers,1,easy,standard,
67,Mon train préféré est le TGV,,,0,easy,no_intent,train_discussion
68,Je viens de Nantes,,,0,easy,incomplete_dest,missing destination
69,un aller simple,,,0,easy,incomplete_grammar,grammatically incomplete
70,de dijon vers tours,Dijon,Tours,1,medium,no_capitals,"lowercase, no accents"
71,Un billet Tours Toulouse,Tours,Toulouse,1,easy,no_markers,
72,Trajet de Brest vers Toulon,Brest,Toulon,1,easy,standard,
73,Je voudrais un billet de Nîmes à Metz,Nîmes,Metz,1,easy,standard,
74,Y a-t-il un train de Toulouse vers Montpellier,Toulouse,Montpellier,1,easy,standard,
75,Je dois me rendre de Nantes à Le Havre,Nantes,Le Havre,1,easy,standard,
76,Avec mon ami Clément je voudrais aller de Bordeaux à Toulon,Bordeaux,Toulon,1,medium,name_ambiguity,Clément=prénom
77,un aller simple ?,,,0,easy,incomplete_grammar,grammatically incomplete
