sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
2480,À partir de Paris,,,0,easy,incomplete_dest,missing destination
4884,coment me rendre de nice a marseiye,Nice,Marseille,1,hard,misspelling,spelling errors
9098,en partant de lille vers toulouse,Lille,Toulouse,1,easy,no_capitals,
4757,Partir à Le Havre de Rennes,Rennes,Le Havre,1,easy,standard,
4441,Depuis Dijon vers Amiens,Dijon,Amiens,1,easy,standard,
8379,Réservation de La Roche-sur-Yon à Angers,La Roche-sur-Yon,Angers,1,medium,compound_name,
7395,Je vais de Nice à Marseille à Rennes,,,0,medium,ambiguous,too many cities
3001,Paris 789 billet ^^&&,,,0,easy,garbage,incoherent mix
3142,jardin miroir tambour vague requin fenêtre framboise,,,0,easy,garbage,nonsense words
8439,jaco sod mija lekisy,,,0,easy,garbage,random text
8138,je veu partir de grenoble ver metz,Grenoble,Metz,1,hard,misspelling,spelling errors
4076,Je me suis trompé Toulouse pas Paris,,,0,medium,ambiguous,conflicting information
5664,Je pars de Boulogne sur Mer pour Toulon,Boulogne-sur-Mer,Toulon,1,medium,compound_name,compound name no hyphen
4922,je voudrai un tiket de grenobl a saint-étienn,Grenoble,Saint-Étienne,1,hard,misspelling,spelling errors
7963,je dois aller à angers,,,0,easy,incomplete_origin,missing origin
1224,Destination finale Strasbourg départ Dijon,Dijon,Strasbourg,1,medium,inverted_order,
4528,j'aimerais visiter montpellier,,,0,easy,incomplete_origin,missing origin
5554,Quel est le temps de correspondance entre Tours et Nice,Tours,Nice,1,hard,complex_question,
6658,Quel est le meilleur jour pour voyager de Dijon à Marseille,Dijon,Marseille,1,hard,complex_question,
5204,Annecy Angers pour le travail,Annecy,Angers,1,medium,no_markers,
6135,Quel est le tarif le moins cher de Marseille à Angers,Marseille,Angers,1,hard,complex_question,
6316,Aller chercher un billet de Dijon à Paris,Dijon,Paris,1,easy,standard,
1305,aller simple de le mans vers nice,Le Mans,Nice,1,easy,no_capitals,
2518,Rémy et Paris veulent aller de Angers à Le Havre,Angers,Le Havre,1,hard,name_ambiguity,multiple name distractors
3630,Comment aller de Nice à Nice,,,0,medium,ambiguous,origin equals destination
7921,comant se rendre de nantes a rennes,Nantes,Rennes,1,hard,misspelling,spelling errors
4297,Un aller de Clermont-Ferrand à Strasbourg merci,Clermont-Ferrand,Strasbourg,1,easy,standard,
421,Il existe des trains de Clermont-Ferrand à Paris,Clermont-Ferrand,Paris,1,medium,standard,
4868,Un billet Le Havre Dijon pour 2 adultes,Le Havre,Dijon,1,medium,additional_info,
2648,Lyon Reims aller-retour,Lyon,Reims,1,medium,no_markers,
1939,je dois aller voir Paris a Grenoble en partant de Montpellier,Montpellier,Grenoble,1,hard,name_ambiguity,multiple name distractors
419,je souhaite me rendre a le havre depuis amiens,Amiens,Le Havre,1,easy,no_capitals,
5513,Mon départ est à Bordeaux,,,0,easy,incomplete_dest,missing destination
1020,Depuis Rennes,,,0,easy,incomplete_dest,missing destination
8348,Un bilet de trein de Strasbourge a nice,Strasbourg,Nice,1,hard,misspelling,spelling errors
2977,avec mes amis Albert et Florence je voudrais aller de Montpellier a Annecy,Montpellier,Annecy,1,hard,name_ambiguity,multiple name distractors
4684,Je souhaite me rendr a Nicce depui Aix-en-Provenc,Aix-en-Provence,Nice,1,hard,misspelling,spelling errors
3252,"Clément, Florence et moi voulons aller de Metz a Lyon",Metz,Lyon,1,hard,name_ambiguity,multiple name distractors
2470,Je voudrais aller de Toulouse à Rennes via Marseille et Bordeaux,,,0,medium,ambiguous,too many cities
1807,Je voudrais aller à Lille,,,0,easy,incomplete_origin,missing origin
1855,Je ve aller de brest a lille,Brest,Lille,1,hard,misspelling,spelling errors
4220,je souhet me rendre a montpellier depuis reimms,Reims,Montpellier,1,hard,misspelling,spelling errors
1919,De Limoges pour aller à Villeurbanne,Limoges,Villeurbanne,1,easy,standard,
1077,Quel est le tarif de Nîmes à Nantes,Nîmes,Nantes,1,medium,standard,
9627,De Bordeaux à Lyon ou peut-être Toulouse,,,0,medium,ambiguous,contradictions
725,partir a annecy de nice,Nice,Annecy,1,easy,no_capitals,
39,Me déplacer vers Toulon depuis Strasbourg,Strasbourg,Toulon,1,medium,inverted_order,
3354,Paris Le Mans dimanche,Paris,Le Mans,1,medium,no_markers,
4873,bakibahux tabofywuky,,,0,easy,garbage,random text
1770,Billet Saint-Étienne Montpellier tôt le matin,Saint-Étienne,Montpellier,1,medium,additional_info,
508,train @@## 456 Marseille !!!,,,0,easy,garbage,incoherent mix
2772,Billet Grenoble Strasbourg avec animal,Grenoble,Strasbourg,1,medium,additional_info,
8144,je veu partir de tolooze a strasboure,Toulouse,Strasbourg,1,hard,misspelling,spelling errors
8755,un ticket de lyon a villeurbanne,Lyon,Villeurbanne,1,easy,no_capitals,
9920,Combien de trains par jour entre Limoges et Le Havre,Limoges,Le Havre,1,hard,complex_question,
7584,un tiket de limoges a amiens,Limoges,Amiens,1,hard,misspelling,spelling errors
8027,Nîmes Bordeaux simple,Nîmes,Bordeaux,1,easy,no_markers,
9253,Départ Toulon arrivée La Roche-sur-Yon,Toulon,La Roche-sur-Yon,1,medium,compound_name,
5628,Un billet Nantes Metz s'il vous plaît,Nantes,Metz,1,easy,standard,
8614,Je pars pour Brest depuis Dijon,Dijon,Brest,1,medium,inverted_order,
9739,Me rendre à Angers depuis Salon-de-Provence,Salon-de-Provence,Angers,1,medium,compound_name,
2272,Pour aller à Bourg en Bresse depuis Nîmes,Nîmes,Bourg-en-Bresse,1,medium,compound_name,compound name no hyphen
996,Y a-t-il souvent des retards sur Brest Grenoble,Brest,Grenoble,1,hard,complex_question,
2699,de grenoble a saint-étienne en train,Grenoble,Saint-Étienne,1,easy,no_capitals,
5309,Billet Tours Nantes pour la famille,Tours,Nantes,1,medium,additional_info,
5343,lekiqex ragyry kutyfula mefoquqoq,,,0,easy,garbage,random text
3539,Train Bordeaux Marseille en soirée,Bordeaux,Marseille,1,medium,additional_info,
231,De Port-Boulet vers Le Havre,Port-Boulet,Le Havre,1,medium,compound_name,
8181,Pour me déplacer à Villeurbanne depuis Amiens,Amiens,Villeurbanne,1,medium,inverted_order,
6218,direction angers,,,0,easy,incomplete_origin,missing origin
5383,pouvez-vous me donner les horaires de tours a nîmes,Tours,Nîmes,1,easy,no_capitals,
4126,je ve aller de nîmes a saint-étienn,Nîmes,Saint-Étienne,1,hard,misspelling,spelling errors
881,aller simple de toulouse vers clermont-ferrand,Toulouse,Clermont-Ferrand,1,easy,no_capitals,
9116,tambour tambour miroir ordinateur cactus,,,0,easy,garbage,nonsense words
9766,Je suis content !,,,0,easy,no_intent,off_topic
2176,Grenoble Paris cet après-midi,Grenoble,Paris,1,easy,no_markers,
233,avec mon ami Rémy je vais de Annecy a Marseille,Annecy,Marseille,1,hard,name_ambiguity,multiple name distractors
7590,cest pour aller de grenoble a brest,Grenoble,Brest,1,easy,no_capitals,
6544,origine tours destination dijon,Tours,Dijon,1,easy,no_capitals,
8962,Combien de trains par jour entre Paris et Lyon,Paris,Lyon,1,hard,complex_question,
6772,Quelle est la durée du trajet de Nice à Amiens,Nice,Amiens,1,medium,standard,
2334,Un billet Saint-Étienne Nîmes tarif jeune,Saint-Étienne,Nîmes,1,medium,additional_info,
8958,un aller simple de strasbourg a toulouse,Strasbourg,Toulouse,1,easy,no_capitals,
8141,De Montpellier,,,0,easy,incomplete_dest,missing destination
7843,Je veux aller de Saint-Étienne vers Toulouse,Saint-Étienne,Toulouse,1,medium,compound_name,
9066,Tiket strasbourg dijon,Strasbourg,Dijon,1,hard,misspelling,spelling errors
8446,Route pour Lyon,,,0,easy,incomplete_origin,missing origin
2976,Il y a des trains de Saint-Étienne à Dijon,Saint-Étienne,Dijon,1,easy,standard,
7808,quel est votre nom,,,0,easy,no_intent,general_questions
6983,voyage depuis nice vers le mans,Nice,Le Mans,1,easy,no_capitals,
8943,Un billet de Aix les Bains pour Reims,Aix-les-Bains,Reims,1,medium,compound_name,compound name no hyphen
6408,Train Dijon Rennes milieu de journée,Dijon,Rennes,1,medium,additional_info,
7406,Rennes Montpellier cet après-midi,Rennes,Montpellier,1,easy,no_markers,
6780,Trajet de Montpellier vers Toulouse,Montpellier,Toulouse,1,easy,standard,
1938,Je me trouve à Paris,,,0,easy,incomplete_dest,missing destination
4959,un biye de tours a marseille,Tours,Marseille,1,hard,misspelling,spelling errors
4778,pour voyager de tours a amiens,Tours,Amiens,1,easy,no_capitals,
6668,Je ve partir de Villeurbann ver Montpellie,Villeurbanne,Montpellier,1,hard,misspelling,spelling errors
780,un aller de clermont-ferrand a villeurbanne merci,Clermont-Ferrand,Villeurbanne,1,easy,no_capitals,
365,Retrouver mes amis Rémy et Lourdes à Marseille depuis Nîmes,Nîmes,Marseille,1,hard,name_ambiguity,multiple name distractors
7688,je souhaite me rendre de amien a pari,Amiens,Paris,1,hard,misspelling,spelling errors
1912,Je souhaite me rendre à Marseille depuis Villeurbanne,Villeurbanne,Marseille,1,easy,standard,
7836,madixil kel divika,,,0,easy,garbage,random text
436,Réservation Grenoble Annecy groupe de 5,Grenoble,Annecy,1,medium,additional_info,
8371,Limoges Toulouse voir la famille,Limoges,Toulouse,1,medium,no_markers,
123,C'est compliqué,,,0,easy,no_intent,random_statements
639,Un bilet de trin de Aix-en-Provenc a Amien,Aix-en-Provence,Amiens,1,hard,misspelling,spelling errors
4533,Clermont-Ferrand Saint-Étienne merci,Clermont-Ferrand,Saint-Étienne,1,easy,no_markers,
7157,je veux partir de brest a grenoble,Brest,Grenoble,1,easy,no_capitals,
3836,Comment aller de Lyon à Marseille à Rennes,,,0,medium,ambiguous,too many cities
262,Un trajet de Toulouse vers Amiens,Toulouse,Amiens,1,easy,standard,
4926,civyguz nufy temyjyp,,,0,easy,garbage,random text
5115,Le Mans Aix-en-Provence réserver,Le Mans,Aix-en-Provence,1,easy,no_markers,
8902,Je voudrais aller de Nice à Toulouse via Paris et Marseille,,,0,medium,ambiguous,too many cities
2386,Billet Nîmes Paris tôt le matin,Nîmes,Paris,1,medium,additional_info,
2828,sable nougat escalier cactus uniforme valise horloge,,,0,easy,garbage,nonsense words
4759,un biye de saint-étienn ver pariis,Saint-Étienne,Paris,1,hard,misspelling,spelling errors
7642,Quand puis-je partir de Lyon vers Paris,Lyon,Paris,1,medium,standard,
2279,Y a-t-il des trains directs entre Grenoble et Brest,Grenoble,Brest,1,hard,complex_question,
4240,Un aller simple de Port Boulet à Tours,Port-Boulet,Tours,1,medium,compound_name,compound name no hyphen
3429,un train de le mans a nîmes,Le Mans,Nîmes,1,easy,no_capitals,
6969,escalier tambour kayak uniforme vague crayon,,,0,easy,garbage,nonsense words
2368,bonne nuit ?,,,0,easy,no_intent,greetings
3608,Que faites-vous dans la vie !,,,0,easy,no_intent,general_questions
7896,je voudré aller de tourz a aix-en-provenc,Tours,Aix-en-Provence,1,hard,misspelling,spelling errors
7680,Où habitez-vous !,,,0,easy,no_intent,general_questions
1752,Les horaires de Saint-Étienne à Grenoble svp,Saint-Étienne,Grenoble,1,easy,standard,
3652,Billet Limoges Saint-Étienne,Limoges,Saint-Étienne,1,medium,compound_name,
