sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,ça va bien merci ?,,,0,easy,no_intent,greetings
2,Très bien et vous !,,,0,easy,no_intent,greetings
3,Coucou,,,0,easy,no_intent,greetings
4,Comment vas-tu,,,0,easy,no_intent,greetings
5,Au revoir ?,,,0,easy,no_intent,greetings
6,salut ça va ?,,,0,easy,no_intent,greetings
7,Enchanté !,,,0,easy,no_intent,greetings
8,À bientôt ?,,,0,easy,no_intent,greetings
9,à plus tard,,,0,easy,no_intent,greetings
10,Enchanté ?,,,0,easy,no_intent,greetings
11,bonjour ?,,,0,easy,no_intent,greetings
12,comment vas-tu ?,,,0,easy,no_intent,greetings
13,ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
14,Ça va bien merci ?,,,0,easy,no_intent,greetings
15,Comment vas-tu ?,,,0,easy,no_intent,greetings
16,bonne journée,,,0,easy,no_intent,greetings
17,À demain !,,,0,easy,no_intent,greetings
18,à bientôt,,,0,easy,no_intent,greetings
19,au revoir ?,,,0,easy,no_intent,greetings
20,Ça va bien merci !,,,0,easy,no_intent,greetings
21,Bonsoir !,,,0,easy,no_intent,greetings
22,À plus tard ?,,,0,easy,no_intent,greetings
23,Hey salut,,,0,easy,no_intent,greetings
24,bonne soirée,,,0,easy,no_intent,greetings
25,À plus tard,,,0,easy,no_intent,greetings
26,Bonne journée,,,0,easy,no_intent,greetings
27,bonsoir ?,,,0,easy,no_intent,greetings
28,Ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
29,Bonjour comment allez-vous !,,,0,easy,no_intent,greetings
30,coucou ?,,,0,easy,no_intent,greetings
31,Bonne journée !,,,0,easy,no_intent,greetings
32,Bonsoir,,,0,easy,no_intent,greetings
33,Salut,,,0,easy,no_intent,greetings
34,hey salut ?,,,0,easy,no_intent,greetings
35,Ça va bien merci,,,0,easy,no_intent,greetings
36,Enchanté,,,0,easy,no_intent,greetings
37,Yo !,,,0,easy,no_intent,greetings
38,Bonjour !,,,0,easy,no_intent,greetings
39,Bonne nuit ?,,,0,easy,no_intent,greetings
40,À plus tard !,,,0,easy,no_intent,greetings
41,enchanté ?,,,0,easy,no_intent,greetings
42,coucou,,,0,easy,no_intent,greetings
43,à demain ?,,,0,easy,no_intent,greetings
44,enchanté,,,0,easy,no_intent,greetings
45,bonne soirée ?,,,0,easy,no_intent,greetings
46,salut ça va,,,0,easy,no_intent,greetings
47,bonjour,,,0,easy,no_intent,greetings
48,à demain,,,0,easy,no_intent,greetings
49,bonjour comment allez-vous ?,,,0,easy,no_intent,greetings
50,bonne journée ?,,,0,easy,no_intent,greetings
51,À demain,,,0,easy,no_intent,greetings
52,Bonne nuit,,,0,easy,no_intent,greetings
53,Bonne journée ?,,,0,easy,no_intent,greetings
54,Bonne nuit !,,,0,easy,no_intent,greetings
55,Salut ?,,,0,easy,no_intent,greetings
56,Bonsoir ?,,,0,easy,no_intent,greetings
57,Ravi de vous rencontrer,,,0,easy,no_intent,greetings
58,très bien et vous ?,,,0,easy,no_intent,greetings
59,Yo ?,,,0,easy,no_intent,greetings
60,à bientôt ?,,,0,easy,no_intent,greetings
61,yo ?,,,0,easy,no_intent,greetings
62,ça va bien merci,,,0,easy,no_intent,greetings
63,bonjour comment allez-vous,,,0,easy,no_intent,greetings
64,À bientôt !,,,0,easy,no_intent,greetings
65,au revoir,,,0,easy,no_intent,greetings
66,Ravi de vous rencontrer !,,,0,easy,no_intent,greetings
67,Au revoir,,,0,easy,no_intent,greetings
68,bonne nuit,,,0,easy,no_intent,greetings
69,Salut ça va,,,0,easy,no_intent,greetings
