sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,Bonjour comment allez-vous,,,0,easy,no_intent,greetings
2,yo,,,0,easy,no_intent,greetings
3,ça va bien merci ?,,,0,easy,no_intent,greetings
4,Coucou,,,0,easy,no_intent,greetings
5,ça va bien merci,,,0,easy,no_intent,greetings
6,Bonne journée ?,,,0,easy,no_intent,greetings
7,Enchanté !,,,0,easy,no_intent,greetings
8,À demain !,,,0,easy,no_intent,greetings
9,Ça va bien merci ?,,,0,easy,no_intent,greetings
10,Comment vas-tu !,,,0,easy,no_intent,greetings
11,bonne soirée,,,0,easy,no_intent,greetings
12,À plus tard !,,,0,easy,no_intent,greetings
13,Bonjour comment allez-vous !,,,0,easy,no_intent,greetings
14,À demain ?,,,0,easy,no_intent,greetings
15,bonjour,,,0,easy,no_intent,greetings
16,Salut ?,,,0,easy,no_intent,greetings
17,Hey salut !,,,0,easy,no_intent,greetings
18,salut,,,0,easy,no_intent,greetings
19,Bonsoir !,,,0,easy,no_intent,greetings
20,Très bien et vous ?,,,0,easy,no_intent,greetings
21,Coucou ?,,,0,easy,no_intent,greetings
22,bonsoir,,,0,easy,no_intent,greetings
23,Au revoir,,,0,easy,no_intent,greetings
24,Bonjour !,,,0,easy,no_intent,greetings
25,À bientôt,,,0,easy,no_intent,greetings
26,Ravi de vous rencontrer,,,0,easy,no_intent,greetings
27,Bonne soirée ?,,,0,easy,no_intent,greetings
28,Hey salut ?,,,0,easy,no_intent,greetings
29,Comment vas-tu,,,0,easy,no_intent,greetings
30,À bientôt ?,,,0,easy,no_intent,greetings
31,Bonne soirée !,,,0,easy,no_intent,greetings
32,bonjour comment allez-vous ?,,,0,easy,no_intent,greetings
33,Salut !,,,0,easy,no_intent,greetings
34,Salut ça va,,,0,easy,no_intent,greetings
35,salut ?,,,0,easy,no_intent,greetings
36,ravi de vous rencontrer,,,0,easy,no_intent,greetings
37,ravi de vous rencontrer ?,,,0,easy,no_intent,greetings
38,au revoir ?,,,0,easy,no_intent,greetings
39,bonne nuit ?,,,0,easy,no_intent,greetings
40,bonsoir ?,,,0,easy,no_intent,greetings
41,à demain,,,0,easy,no_intent,greetings
42,salut ça va ?,,,0,easy,no_intent,greetings
43,À plus tard ?,,,0,easy,no_intent,greetings
44,Bonjour,,,0,easy,no_intent,greetings
